Id,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Weight - TBD by Machine,Category number,Status,MarkerTypeId,comment,Description
6513,,our prediction,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
6894,,certain amount of caution,limitation,limitation,,if appears after Results section or in conclusions section,,,,13,1,13,,NULL
4918,,a number of limitations,limitation,limitation,,if appears after Results section or in conclusions section,,,,13,1,13,,NULL
,,a paucity of data,problem statement,,,if appears in Introduction section,,,,30,,,,
Sep13,empirical,additional analyses should examine,recommendation ,,if in conclusion section,,,,,31,,,,
,,added value,contribution,,,if in conclusion section,,,,8,,,,
,,additonal benefit,contribution,,,if in conclusion section,,,,8,,,,
,,additional research is required,problem statement,,,if appears in Introduction,,,,30,,,,
42,,additional research is required,limitation,,,if appears after Results section or in conclusions section,,,,6,1,6,,NULL
,,additional studies are required,problem statement,,,if appears in Introduction,,,,30,,,,
40,,additional studies are required,limitation,,,if appears after Results section or in conclusions section,,,,6,1,6,,NULL
,,address the needs of,problem statement,,,intro section,,,,30,,,,
,,address the problem,problem statement,,,intro section,,,,30,,,,
,,addressed the need for,contribution,,,if in conclusion section,,,,8,,,,
,,addresses only the question of,limitation,,,if appears after Results section or in conclusions section,,,,5,,,,
Sep13,,addresses questions of,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,,,,
,,alarming rate,problem statement,,,if in intro section,,,,30,,,,
79,,allow us to,contribution,contribution,,,,,,8,1,8,NULL,* allow% us to
3219,,allow you  to understand,contribution,contribution,,,,,,8,1,8,NULL,* allow% you to *
3206,,allow you to,contribution,contribution,,,,,,8,1,8,NULL,* allow% * to
3220,,allow you to see,contribution,contribution,,,,,,8,1,8,NULL,* allow% * to see
,,allows the treatment of,contribution,,if in intro section,,,,,8,,,,
7633,,allows us to,contribution,contribution,,,,,,8,1,6,,allows * to
81,,allows you to,contribution,contribution,,,,,,8,1,8,NULL,NULL
,,almost no,problem statement,,,if in intro section,,,,30,,,,
,,an effective ... for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
Sep13,,an understanding of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
118,,anecdotal evidence,limitation,,,"if appears after Results section or in conclusions section
",,,,6,1,6,,NULL
119,,anecdotal results,limitation,,,"if appears after Results section or in conclusions section
",,,,6,1,6,,NULL
169,,are still not completely understood,problem statement,problem statement,,if appears in Introduction section,,,,30,1,6,,NULL
172,,areas for further research,recommendation ,future research,,if appears in Conclusion section,,,,6,1,6,,NULL
7993,,as hypothesized,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
4106,,as predicted,hypothesis/research question  ,research question,self ref,deictic work ref,,,,26,0,25,NULL,as * predicted
196,,as yet no,problem statement,,if in intro section,,,,,30,1,6,,NULL
,,attempt to fill this gap between,problem statement,,,if in the introduction ,,,,30,,,,
Sep13,,attempts should be made,recommendation ,recommendation,,,,,,31,,,,
Sep13,,avenue for improvement,recommendation ,,,,,,,31,,,,
Sep13,,avenues for improvement,recommendation ,,,,,,,31,,,,
Sep13,,avenues of future,recommendation ,,,,,,,31,,,,
