Id,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Weight - TBD by Machine,Category number,Status,MarkerTypeId,comment,Description
7027,,individuals,core/salient,,,,,,,6,1,6,,NULL
6513,,our prediction,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
4619,,find that,reporting,,,,,,,18,1,18,NULL,NULL
4637,,) noted that,reporting,,,,,,,18,0,18,NULL,) noted that
4768,,- ..... -,explanations / definitions,explanation / definition,,markers of explanation inside dashes,,,,20,1,20,NULL,- *** -
4714,,", known as the",explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,NULL
4700,,", that is,",explanations / definitions,explanation / definition,,markers of explanation following comma,,,,20,0,20,NULL,NULL
2,empirical ,(N = .....),core/salient,,,,,,,6,1,6,,NULL
5689,empirical ,(R =,core/salient,,,,,,,6,1,6,,(R=0.**)
7070,,) explain,reporting,,,,,,,18,0,18,NULL,NULL
6524,,) found,reporting,,,,,,,18,0,18,NULL,NULL
7209,,) found that,reporting,,,,,,,18,0,18,NULL,NULL
7192,,) has found that,reporting,,,,,,,18,0,18,NULL,NULL
7079,,) has related,reporting,,,,,,,18,0,18,NULL,) * related
7193,,) have found that,reporting,,,,,,,18,0,18,NULL,NULL
7189,,) have shown that,reporting,,,,,,,18,0,18,NULL,NULL
7257,,) identified factors that,reporting,,,,,,,18,0,18,NULL,NULL
6913,,) observed that,reporting,,,,,,,18,0,18,NULL,NULL
7205,,) reviewed research findings,reporting,,,,,,,18,0,18,NULL,) reviewed * research findings
7204,,) showed that,reporting,,,,,,,18,0,18,NULL,) * showed that
6592,,) suggested that,reporting,,,,,,,18,0,18,NULL,) suggest% that
7217,,) suggesting that,conclusion,,,,,,,21,0,21,NULL,NULL
7348,,) summarized,reporting,,,,,,,18,0,18,NULL,NULL
4,empirical,* p < .005,core/salient,,,,,,,6,1,6,,NULL
5,empirical,***p < .001,core/salient,,,,,,,6,1,6,,NULL
6,empirical,**p <.01,core/salient,,,,,,,6,1,6,,NULL
1,,% of the total,core/salient,,,,,,,6,0,6,,NULL
6569,,a ... is a,explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,a *** is a
4722,,a … is an … that,explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,a * is an *** that
4723,,a … is one who,explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,a * is one who
Sep13,,better representation of,core/salient,,,,,,,6,,,,
6894,,certain amount of caution,limitation,limitation,,if appears after Results section or in conclusions section,,,,13,1,13,,NULL
Sep13,,final point to consider,attention flagger,,,,,,,29,,,,
Sep13,,further consideration in this,attention flagger,,,,,,,29,,,,
Sep13,,great deal,core/salient,,,,,,,6,,,,
Sep13,,lot in common with,core/salient,,,,,,,6,,,,
Sep13,,more,core/salient,,,,,,,6,,,,
Sep13,,more holistic,core/salient,,,,,,,6,,,,
Sep13,,more inclusive,core/salient,,,,,,,6,,,,
4918,,a number of limitations,limitation,limitation,,if appears after Results section or in conclusions section,,,,13,1,13,,NULL
6952,,a number of strands,core/salient,,,,,,,6,1,6,,NULL
15,,a paucity of data,core/salient,,,,,,,6,1,6,,NULL
19,,a topic of much analysis in,attention flagger,,,,,,,29,0,6,,NULL
,,a paucity of data,problem statement,,,if appears in Introduction section,,,,30,,,,
6568,,a... is a,explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,NULL
4726,,a… is a … which,explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,a *** is a *** which
Sep13,,abandon,core/salient,,,,,,,6,,,,
6855,,abilities,core/salient,,,,,,,6,0,6,,NULL
7185,,abilities to,core/salient,,,,,,,6,0,6,,NULL
5351,,ability,core/salient,,,,,,,6,0,6,,NULL
5498,,able to,core/salient,,,,,,,6,1,6,,able to **
5499,,able to determine,core/salient,,,,,,,6,1,6,,able to determine
5256,,abnormal,core/salient,,,,,,,6,1,6,,NULL
7555,,abnormally,core/salient,,,,,,,6,1,6,,NULL
Sep13,,abound,core/salient,,,,,,,6,,,,
6233,,above,core/salient,,,,,,,6,0,6,,NULL
21,,above all,attention flagger,,,,,,,29,1,6,,NULL
Sep13,,above examples show that,conclusion,,,,,,,21,,,,
4371,,above table,navigation,,,,,,,15,0,15,NULL,NULL
4277,,above-mentioned,navigation,,,,,,,15,0,15,NULL,NULL
22,,absence,core/salient,,,,,,,6,1,6,,NULL
23,,absence of,core/salient,,,,,,,6,1,6,,NULL
5355,,absent,core/salient,,,,,,,6,1,6,,NULL
7514,,absolutely,core/salient,,,,,,,6,1,6,,NULL
6016,,abundance,core/salient,,,,,,,6,0,6,,NULL
6017,,abundance of,core/salient,,,,,,,6,1,6,,NULL
5830,,abundant,core/salient,,,,,,,6,0,6,,NULL
Sep13,,abundant evidence,core/salient,,,,,,,6,,,,
24,,accelerate,core/salient,,,,,,,6,1,6,,accelerate%
6554,,accelerated,consequence / result,,,,,,,9,1,9,NULL,NULL
Sep13,,accept,core/salient,,,,,,,6,,,,
Sep13,,acceptable,core/salient,,,,,,,6,,,,
6758,,access,core/salient,,,,,,,6,0,6,,access%
Sep13,,accommodate,core/salient,,,,,,,6,,,,
7283,,accomodate to,core/salient,,,,,,,6,0,6,,accomodate *
Sep13,,accompany,core/salient,,,,,,,6,,,,
Sep13,,accomplish,core/salient,,,,,,,6,,,,
Sep13,,accomplished,core/salient,,,,,,,6,,,,
Sep13,,accomplishment,core/salient,,,,,,,6,,,,
25,,according to,core/salient,,,,,,,6,0,6,,according to
Sep13,,account,core/salient,,,,,,,6,,,,
2747,,account for,core/salient,,,,,,,6,1,6,,NULL
2205,,account of,core/salient,,,,,,,6,0,6,,NULL
Sep13,,account was taken of,core/salient,,,,,,,6,,,,
2748,,accounted for,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,NULL
3355,,accounts for,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,account% for
6444,,accrue,core/salient,,,,,,,6,0,6,,accrue%
Sep13,,accumulate,core/salient,,,,,,,6,,,,
6270,,accumulation of,core/salient,,,,,,,6,0,6,,NULL
5584,,accuracy,core/salient,,,,,,,6,1,6,,NULL
Sep13,,accuracy in,core/salient,,,,,,,6,,,,
7131,,accuracy of,core/salient,,,,,,,6,1,6,,NULL
3867,,accurate,core/salient,,,,,,,6,1,13,,NULL
5566,,accurately,core/salient,,,,,,,6,0,6,,NULL
29,,accurately reflect,core/salient,,,,,,,6,1,6,,NULL
Sep13,,achieve,core/salient,,,,,,,6,,,,
5902,,achieved,core/salient,,,,,,,6,1,6,,achieve%
Sep13,,achievement,core/salient,,,,,,,6,,,,
Sep13,,Achilles heel,core/salient,,,,,,,6,,,,
6248,,acknowledge,core/salient,,,,,,,6,0,6,,acknowledge%
7410,,acknowledged as,core/salient,,,,,,,6,0,6,,NULL
7159,,acquire,core/salient,,,,,,,6,0,6,,NULL
7207,,acquisition,core/salient,,,,,,,6,0,6,,NULL
7206,,acquisition of,core/salient,,,,,,,6,0,6,,NULL
30,,across a range of,core/salient,,,,,,,6,0,6,,NULL
Sep13,,across all,core/salient,,,,,,,6,,,,
Sep13,,across all aspects of,core/salient,,,,,,,6,,,,
Sep13,empirical,across groups,core/salient,,,,,,,6,,,,
32,,act as a catalyst for,core/salient,,,,,,,6,1,6,,NULL
5893,,activated,core/salient,,,,,,,6,1,6,,activate%
5852,,activators of,core/salient,,,,,,,6,1,6,,activator% of
5904,,actual,core/salient,,,,,,,6,0,6,,NULL
5305,,actually,core/salient,,,,,,,6,0,6,,NULL
Sep13,,acute,core/salient,,,,,,,6,,,,
Sep13,,ad hoc,core/salient,,,,,,,6,,,,
Sep13,,ad-hoc,core/salient,,,,,,,6,,,,
Sep13,,adaptation,core/salient,,,,,,,6,,,,
6360,,adapted,core/salient,,,,,,,6,0,6,,adapt%
Sep13,,adapts it to,core/salient,,,,,,,6,,,,
33,,add,core/salient,,,,,,,6,1,6,,NULL
34,,add impetus to,core/salient,,,,,,,6,1,6,,NULL
Sep13,,add to,core/salient,,,,,,,6,,,,
Sep13,,add to this,core/salient,,,,,,,6,,,,
6856,,added,core/salient,,,,,,,6,1,6,,add%
35,,added value,core/salient,,,,,,,6,1,6,,NULL
5772,,addition of,core/salient,,,,,,,6,1,6,,NULL
4051,,additional,additive,,,,,,,14,1,14,NULL,NULL
Sep13,empirical,additional analyses should examine,recommendation ,,if in conclusion section,,,,,31,,,,
,,added value,contribution,,,if in conclusion section,,,,8,,,,
37,,additional benefit,core/salient,,,,,,,6,1,6,,NULL
38,,additional conclusion,conclusion,,,,,,,21,1,21,NULL,additional conclusion%
5130,,additional evidence of,conclusion,,,,,,,21,1,21,NULL,* evidence of
3400,,additional reason,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,additional reason%
