Id,Last Edit / Deliberation Comment / Need to review,on/off,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Description,Status,Weight - TBD by Machine,Category number,MarkerTypeId,comment
3214,,,,you will be able to,contribution,,,,,,you * be able to,1,,8,8,NULL
3213,,,,you should be able to,contribution,,,,,,NULL,1,,8,8,NULL
3131,,,,yet there is a paucity of,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,yet,problem statement,if in introduction,,,,,,,,30,,
,,,,would provide a more rigorous test of,recommendation,if in conclusion section,,,,,,,,31,,
,,,,would provide a means of validating,recommendation,if in conclusion section,,,,,,,,31,,
3099,,,,will help you to,contribution,,,,,,* help you to,1,,8,8,NULL
3097,,,,will help us to,contribution,,,,,,* help us to,1,,8,8,NULL
,,,,will help guide the research,contribution,,if in conclusion section,,,,,,,8,,
3096,,,,will enable you to,contribution,,,,,,* enable you to,1,,8,8,NULL
3256,,,,will enable us to,contribution,,,,,,NULL,1,,8,8,NULL
,,,,will be revealed by future research,recommendation,,,,,,,,,31,,
,,,,While a great deal of research has …,problem statement,if in introduction,,,,,,,,30,,
,,,,which remains underrecognised,problem statement,if in introduction,,,,,,,,30,,
,,,,which can inflate correlations,limitation,,,,,,,,,5,,
,,,,were not randomly assigned to,limitation,,,,,,,,,5,,
6621,,,,we will be able to,contribution,,,,,,NULL,1,,8,8,NULL
,,,,we were unable to address the long-term effects of,limitation,,,,,,,,,5,,
,,,,we recommend that,recommendation,,if in conclusion section,,,,,,,31,,
,,,,we recommend,recommendation,,if in conclusion section,,,,,,,31,,
3045,,,,we need to know,problem statement,,if in introduction,,,,NULL,1,,30,6,
7602,,,,we limit our discussion to,limitation,,"if appears in discussion or 
conclusion sections",,,,we limit * discussion to,1,,5,15,NULL
7374,,,,we know very little about,problem statement,,if in introduction,,,,* know very little about,1,,30,6,
6969,what is the full specification of this beyond the current plain text,,,we investigated whether,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7961,what is the full specification of this beyond the current plain text,,,we hypothesized that we would find,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7919,matan - disabled as it is a superfluous by 6155 (?),off,,we hypothesized that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
7921,what is the full specification of this beyond the current plain text,,,we hypothesize that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
1163,what is the full specification of this beyond the current plain text,,,we hypothesised that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,we hope our … will,contribution,,if in conclusion section,,,,,,,8,,
Sep13,,,,we have taken a few steps towards,contribution,contribution,if in discussion or in conclusion section,,,,,,,8,,
Sep13,,,,we have suggested some ways in which,contribution,contribution,if in discussion or in conclusion section,,,,,,,8,,
Sep13,,,,we have no way of knowing,limitation,,if in discussion or in conclusion section,,,,,,,5,,
Sep13,,,,we extend the model,contribution,,,,,,,,,8,,
Sep13,,,,we extend,contribution,,,,,,,,,8,,
